game_id,title,url,video_id,channel,duration,view_count,like_count,comment_count
22500043,"Milwaukee Bucks vs Charlotte Hornets - FULL GAME HIGHLIGHTS | November 14, 2025 NBA Cup",https://www.youtube.com/watch?v=RLrWNr_Tm-w,RLrWNr_Tm-w,Ximo Pierto,580,3983,56,4.0
22500229,"Oklahoma City Thunder vs Charlotte Hornets - FULL GAME HIGHLIGHTS | November 15, 2025 NBA Season",https://www.youtube.com/watch?v=BOvEtFxgZaw,BOvEtFxgZaw,Ximo Pierto,554,8661,171,4.0
22500229,Oklahoma City Thunder vs Charlotte Hornets | Full Game Highlights | November 15 | 2025-26 NBA Season,https://www.youtube.com/watch?v=YhBsHK_R600,YhBsHK_R600,The CCB Network,599,4046,73,
22500229,Oklahoma City Thunder vs Charlotte Hornets Full Game Highlights | Nov 15 | 2026 NBA Season,https://www.youtube.com/watch?v=pHqYJsfmT-w,pHqYJsfmT-w,Hooper Highlights,599,3744,142,4.0
22500044,"Minnesota Timberwolves vs Sacramento Kings Full Game Highlights - November 14, 2025 | NBA Season",https://www.youtube.com/watch?v=uhHRQWQUHGI,uhHRQWQUHGI,GAMETIME HIGHLIGHTS,578,122930,1155,151.0
22500044,"Minnesota Timberwolves vs Sacramento Kings - FULL GAME HIGHLIGHTS | November 14, 2025 NBA Cup",https://www.youtube.com/watch?v=3_YiRFo8aJU,3_YiRFo8aJU,Ximo Pierto,580,4192,86,9.0
22500044,Minnesota Timberwolves vs Sacramento Kings | Full Game Highlights | November 14 | 2025-26 NBA Season,https://www.youtube.com/watch?v=9flEvps1PSs,9flEvps1PSs,The CCB Network,604,11442,138,1.0
22500258,"Philadelphia 76ers vs Toronto Raptors Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=E-C4RvjbhVc,E-C4RvjbhVc,GAMETIME HIGHLIGHTS,569,46033,469,33.0
22500258,"Toronto Raptors vs Philadelphia 76ers - Full Team Highlights | Nov 19, 2025",https://www.youtube.com/watch?v=XBlxXEaOWHw,XBlxXEaOWHw,Raptors Nation,581,23754,338,53.0
22500258,"Toronto Raptors vs Philadelphia 76ers - FULL GAME HIGHLIGHTS | November 19, 2025 NBA Season",https://www.youtube.com/watch?v=q_C0mfCgTkE,q_C0mfCgTkE,Ximo Pierto,576,2892,64,4.0
22500258,Toronto Raptors vs Philadelphia 76ers Full Game Highlights | Nov 19 | 2026 NBA Season,https://www.youtube.com/watch?v=aQqQkcdWuVo,aQqQkcdWuVo,Hooper Highlights,598,2432,74,2.0
22500258,Philadelphia 76ers vs Toronto Raptors | Full Game Highlights | November 19 | 2025-26 NBA Season,https://www.youtube.com/watch?v=wxVSDC5PAPs,wxVSDC5PAPs,The CCB Network,603,6545,115,2.0
22500258,"Toronto Raptors vs Philadelphia 76ers - First Half Team Highlights | Nov 19, 2025",https://www.youtube.com/watch?v=OqU1gj0nVig,OqU1gj0nVig,Raptors Nation,266,4724,38,4.0
